,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
107,bing,True,FGSM,alexnet,40/60,vgg,google,50/50,0.675,0.8301887,0.44,0.57516336
108,bing,True,FGSM,alexnet,50/50,alexnet,bing,20/80,0.555,0.55140185,0.59,0.5700483
109,bing,True,FGSM,alexnet,50/50,alexnet,bing,30/70,0.52,0.525641,0.41,0.46067414
110,bing,True,FGSM,alexnet,50/50,alexnet,bing,40/60,0.555,0.6037736,0.32,0.41830066
111,bing,True,FGSM,alexnet,50/50,alexnet,bing,50/50,0.525,0.5294118,0.45,0.4864865
112,bing,True,FGSM,alexnet,50/50,resnet,bing,20/80,0.7,0.6298701,0.97,0.76377946
113,bing,True,FGSM,alexnet,50/50,resnet,bing,30/70,0.775,0.7522936,0.82,0.784689
114,bing,True,FGSM,alexnet,50/50,resnet,bing,40/60,0.73499995,0.7373737,0.73,0.7336683
115,bing,True,FGSM,alexnet,50/50,resnet,bing,50/50,0.755,0.8,0.68,0.73513514
116,bing,True,FGSM,alexnet,50/50,vgg,bing,20/80,0.71999997,0.67741936,0.84,0.75
117,bing,True,FGSM,alexnet,50/50,vgg,bing,30/70,0.74,0.7222222,0.78,0.74999994
118,bing,True,FGSM,alexnet,50/50,vgg,bing,40/60,0.69,0.73170733,0.6,0.6593407
119,bing,True,FGSM,alexnet,50/50,vgg,bing,50/50,0.695,0.76,0.57,0.65142864
120,bing,True,FGSM,alexnet,50/50,alexnet,ddg,20/80,0.53,0.5208333,0.75,0.61475414
121,bing,True,FGSM,alexnet,50/50,alexnet,ddg,30/70,0.55,0.5735294,0.39,0.46428573
122,bing,True,FGSM,alexnet,50/50,alexnet,ddg,40/60,0.53,0.5555556,0.3,0.3896104
123,bing,True,FGSM,alexnet,50/50,alexnet,ddg,50/50,0.51,0.5277778,0.19,0.27941176
124,bing,True,FGSM,alexnet,50/50,resnet,ddg,20/80,0.71,0.675,0.81,0.73636365
125,bing,True,FGSM,alexnet,50/50,resnet,ddg,30/70,0.715,0.8909091,0.49,0.63225806
126,bing,True,FGSM,alexnet,50/50,resnet,ddg,40/60,0.635,0.9354839,0.29,0.44274804
127,bing,True,FGSM,alexnet,50/50,resnet,ddg,50/50,0.72499996,0.90909094,0.5,0.6451613
128,bing,True,FGSM,alexnet,50/50,vgg,ddg,20/80,0.715,0.677686,0.82,0.7420815
129,bing,True,FGSM,alexnet,50/50,vgg,ddg,30/70,0.7,0.7083333,0.68,0.6938775
130,bing,True,FGSM,alexnet,50/50,vgg,ddg,40/60,0.655,0.7719298,0.44,0.56050956
131,bing,True,FGSM,alexnet,50/50,vgg,ddg,50/50,0.695,0.7671233,0.56,0.6473988
132,bing,True,FGSM,alexnet,50/50,alexnet,google,20/80,0.615,0.6017699,0.68,0.63849765
133,bing,True,FGSM,alexnet,50/50,alexnet,google,30/70,0.63,0.6805556,0.49,0.5697675
134,bing,True,FGSM,alexnet,50/50,alexnet,google,40/60,0.61,0.71153843,0.37,0.4868421
135,bing,True,FGSM,alexnet,50/50,alexnet,google,50/50,0.59499997,0.6938776,0.34,0.45637584
136,bing,True,FGSM,alexnet,50/50,resnet,google,20/80,0.775,0.73913044,0.85,0.79069775
137,bing,True,FGSM,alexnet,50/50,resnet,google,30/70,0.685,0.8490566,0.45,0.5882353
138,bing,True,FGSM,alexnet,50/50,resnet,google,40/60,0.68,0.875,0.42,0.5675675
139,bing,True,FGSM,alexnet,50/50,resnet,google,50/50,0.68,0.90909094,0.4,0.5555555
140,bing,True,FGSM,alexnet,50/50,vgg,google,20/80,0.72499996,0.6956522,0.8,0.7441861
141,bing,True,FGSM,alexnet,50/50,vgg,google,30/70,0.72499996,0.7710843,0.64,0.69945353
142,bing,True,FGSM,alexnet,50/50,vgg,google,40/60,0.645,0.75438595,0.43,0.5477707
143,bing,True,FGSM,alexnet,50/50,vgg,google,50/50,0.65999997,0.8333333,0.4,0.5405406
144,bing,True,FGSM,resnet,20/80,alexnet,bing,20/80,0.78999996,0.72307694,0.94,0.81739134
145,bing,True,FGSM,resnet,20/80,alexnet,bing,30/70,0.81,0.7980769,0.83,0.8137255
146,bing,True,FGSM,resnet,20/80,alexnet,bing,40/60,0.825,0.84210527,0.8,0.82051283
147,bing,True,FGSM,resnet,20/80,alexnet,bing,50/50,0.815,0.7837838,0.87,0.82464457
148,bing,True,FGSM,resnet,20/80,resnet,bing,20/80,0.515,0.50955415,0.8,0.62256813
149,bing,True,FGSM,resnet,20/80,resnet,bing,30/70,0.53999996,0.5350877,0.61,0.57009345
150,bing,True,FGSM,resnet,20/80,resnet,bing,40/60,0.5,0.5,0.44,0.4680851
151,bing,True,FGSM,resnet,20/80,resnet,bing,50/50,0.58,0.58,0.58,0.58
152,bing,True,FGSM,resnet,20/80,vgg,bing,20/80,0.71,0.6640625,0.85,0.74561405
153,bing,True,FGSM,resnet,20/80,vgg,bing,30/70,0.71,0.675,0.81,0.73636365
154,bing,True,FGSM,resnet,20/80,vgg,bing,40/60,0.75,0.78409094,0.69,0.7340425
155,bing,True,FGSM,resnet,20/80,vgg,bing,50/50,0.755,0.78651685,0.7,0.7407407
156,bing,True,FGSM,resnet,20/80,alexnet,ddg,20/80,0.71,0.64,0.96,0.768
157,bing,True,FGSM,resnet,20/80,alexnet,ddg,30/70,0.805,0.78504676,0.84,0.81159425
158,bing,True,FGSM,resnet,20/80,alexnet,ddg,40/60,0.825,0.85714287,0.78,0.81675386
159,bing,True,FGSM,resnet,20/80,alexnet,ddg,50/50,0.79499996,0.86419755,0.7,0.77348065
160,bing,True,FGSM,resnet,20/80,resnet,ddg,20/80,0.56,0.54615384,0.71,0.6173913
161,bing,True,FGSM,resnet,20/80,resnet,ddg,30/70,0.61,0.6666667,0.44,0.5301205
162,bing,True,FGSM,resnet,20/80,resnet,ddg,40/60,0.61,0.775,0.31,0.44285712
163,bing,True,FGSM,resnet,20/80,resnet,ddg,50/50,0.615,0.6769231,0.44,0.53333336
164,bing,True,FGSM,resnet,20/80,vgg,ddg,20/80,0.72499996,0.6666667,0.9,0.76595753
165,bing,True,FGSM,resnet,20/80,vgg,ddg,30/70,0.765,0.7387387,0.82,0.7772512
166,bing,True,FGSM,resnet,20/80,vgg,ddg,40/60,0.72499996,0.8082192,0.59,0.682081
167,bing,True,FGSM,resnet,20/80,vgg,ddg,50/50,0.71999997,0.7894737,0.6,0.68181825
