,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
97,bing,True,FGSM,vgg,20/80,alexnet,google,30/70,0.515,0.5714286,0.12,0.1983471
98,bing,True,FGSM,vgg,20/80,alexnet,google,40/60,0.51,0.54545456,0.12,0.1967213
99,bing,True,FGSM,vgg,20/80,alexnet,google,50/50,0.48499998,0.44444445,0.12,0.18897638
100,bing,True,FGSM,vgg,20/80,resnet,google,20/80,0.515,0.50793654,0.96,0.66435987
101,bing,True,FGSM,vgg,20/80,resnet,google,30/70,0.515,0.52,0.39,0.4457143
102,bing,True,FGSM,vgg,20/80,resnet,google,40/60,0.49499997,0.4920635,0.31,0.3803681
103,bing,True,FGSM,vgg,20/80,resnet,google,50/50,0.475,0.42857143,0.15,0.22222222
104,bing,True,FGSM,vgg,20/80,vgg,google,20/80,0.565,0.5511811,0.7,0.61674005
105,bing,True,FGSM,vgg,20/80,vgg,google,30/70,0.57,0.5686275,0.58,0.5742574
106,bing,True,FGSM,vgg,20/80,vgg,google,40/60,0.52,0.5714286,0.16,0.24999999
107,bing,True,FGSM,vgg,20/80,vgg,google,50/50,0.5,0.5,0.01,0.019607844
108,bing,True,FGSM,vgg,50/50,alexnet,bing,20/80,0.615,0.6036036,0.67,0.63507104
109,bing,True,FGSM,vgg,50/50,alexnet,bing,30/70,0.53999996,0.5588235,0.38,0.45238093
110,bing,True,FGSM,vgg,50/50,alexnet,bing,40/60,0.505,0.5714286,0.04,0.074766345
111,bing,True,FGSM,vgg,50/50,alexnet,bing,50/50,0.52,0.56666666,0.17,0.26153845
112,bing,True,FGSM,vgg,50/50,resnet,bing,20/80,0.49499997,0.49748743,0.99,0.66220737
113,bing,True,FGSM,vgg,50/50,resnet,bing,30/70,0.515,0.5088757,0.86,0.6394052
114,bing,True,FGSM,vgg,50/50,resnet,bing,40/60,0.53999996,0.52409637,0.87,0.65413535
115,bing,True,FGSM,vgg,50/50,resnet,bing,50/50,0.62,0.59375,0.76,0.6666666
116,bing,True,FGSM,vgg,50/50,vgg,bing,20/80,0.555,0.53072625,0.95,0.6810036
117,bing,True,FGSM,vgg,50/50,vgg,bing,30/70,0.565,0.5442177,0.8,0.64777327
118,bing,True,FGSM,vgg,50/50,vgg,bing,40/60,0.545,0.60465115,0.26,0.36363634
119,bing,True,FGSM,vgg,50/50,vgg,bing,50/50,0.52,0.5833333,0.14,0.22580646
120,bing,True,FGSM,vgg,50/50,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
121,bing,True,FGSM,vgg,50/50,alexnet,ddg,30/70,0.59999996,0.59090906,0.65,0.6190476
122,bing,True,FGSM,vgg,50/50,alexnet,ddg,40/60,0.48999998,0.49305555,0.71,0.58196723
123,bing,True,FGSM,vgg,50/50,alexnet,ddg,50/50,0.51,0.6,0.06,0.10909091
124,bing,True,FGSM,vgg,50/50,resnet,ddg,20/80,0.57,0.5546875,0.71,0.622807
125,bing,True,FGSM,vgg,50/50,resnet,ddg,30/70,0.575,0.6666667,0.3,0.41379312
126,bing,True,FGSM,vgg,50/50,resnet,ddg,40/60,0.505,1.0,0.01,0.01980198
127,bing,True,FGSM,vgg,50/50,resnet,ddg,50/50,0.565,0.6511628,0.28,0.3916084
128,bing,True,FGSM,vgg,50/50,vgg,ddg,20/80,0.52,0.5119048,0.86,0.64179105
129,bing,True,FGSM,vgg,50/50,vgg,ddg,30/70,0.52,0.5140845,0.73,0.6033058
130,bing,True,FGSM,vgg,50/50,vgg,ddg,40/60,0.49499997,0.4,0.02,0.03809524
131,bing,True,FGSM,vgg,50/50,vgg,ddg,50/50,0.48999998,0.33333334,0.02,0.03773585
132,bing,True,FGSM,vgg,50/50,alexnet,google,20/80,0.56,0.5652174,0.52,0.5416667
133,bing,True,FGSM,vgg,50/50,alexnet,google,30/70,0.515,0.57894737,0.11,0.18487394
134,bing,True,FGSM,vgg,50/50,alexnet,google,40/60,0.53,0.60714287,0.17,0.265625
135,bing,True,FGSM,vgg,50/50,alexnet,google,50/50,0.49499997,0.4814815,0.13,0.20472439
136,bing,True,FGSM,vgg,50/50,resnet,google,20/80,0.49499997,0.4972973,0.92,0.645614
137,bing,True,FGSM,vgg,50/50,resnet,google,30/70,0.525,0.5362319,0.37,0.43786985
138,bing,True,FGSM,vgg,50/50,resnet,google,40/60,0.55,0.578125,0.37,0.45121953
139,bing,True,FGSM,vgg,50/50,resnet,google,50/50,0.545,0.6097561,0.25,0.35460994
140,bing,True,FGSM,vgg,50/50,vgg,google,20/80,0.545,0.53435117,0.7,0.6060606
141,bing,True,FGSM,vgg,50/50,vgg,google,30/70,0.615,0.6236559,0.58,0.6010362
142,bing,True,FGSM,vgg,50/50,vgg,google,40/60,0.55,0.6785714,0.19,0.296875
143,bing,True,FGSM,vgg,50/50,vgg,google,50/50,0.49499997,0.33333334,0.01,0.019417476
144,bing,True,FGSM,alexnet,30/70,alexnet,bing,20/80,0.53999996,0.53846157,0.56,0.5490196
145,bing,True,FGSM,alexnet,30/70,alexnet,bing,30/70,0.435,0.34146342,0.14,0.19858155
146,bing,True,FGSM,alexnet,30/70,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
147,bing,True,FGSM,alexnet,30/70,alexnet,bing,50/50,0.48499998,0.45454547,0.15,0.22556391
148,bing,True,FGSM,alexnet,30/70,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
149,bing,True,FGSM,alexnet,30/70,resnet,bing,30/70,0.59499997,0.56050956,0.88,0.6848249
150,bing,True,FGSM,alexnet,30/70,resnet,bing,40/60,0.575,0.54658383,0.88,0.6743295
151,bing,True,FGSM,alexnet,30/70,resnet,bing,50/50,0.585,0.6976744,0.3,0.41958043
152,bing,True,FGSM,alexnet,30/70,vgg,bing,20/80,0.52,0.5102041,1.0,0.6756757
153,bing,True,FGSM,alexnet,30/70,vgg,bing,30/70,0.555,0.5297297,0.98,0.6877193
154,bing,True,FGSM,alexnet,30/70,vgg,bing,40/60,0.565,0.54362416,0.81,0.65060246
155,bing,True,FGSM,alexnet,30/70,vgg,bing,50/50,0.53499997,0.6296296,0.17,0.26771653
156,bing,True,FGSM,alexnet,30/70,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
157,bing,True,FGSM,alexnet,30/70,alexnet,ddg,30/70,0.45,0.38636363,0.17,0.2361111
158,bing,True,FGSM,alexnet,30/70,alexnet,ddg,40/60,0.45499998,0.47019866,0.71,0.565737
159,bing,True,FGSM,alexnet,30/70,alexnet,ddg,50/50,0.5,nan,0.0,nan
160,bing,True,FGSM,alexnet,30/70,resnet,ddg,20/80,0.575,0.58064514,0.54,0.5595855
161,bing,True,FGSM,alexnet,30/70,resnet,ddg,30/70,0.545,1.0,0.09,0.16513762
162,bing,True,FGSM,alexnet,30/70,resnet,ddg,40/60,0.5,nan,0.0,nan
163,bing,True,FGSM,alexnet,30/70,resnet,ddg,50/50,0.515,0.8,0.04,0.07619048
164,bing,True,FGSM,alexnet,30/70,vgg,ddg,20/80,0.53499997,0.5187166,0.97,0.6759582
165,bing,True,FGSM,alexnet,30/70,vgg,ddg,30/70,0.575,0.54966885,0.83,0.66135454
166,bing,True,FGSM,alexnet,30/70,vgg,ddg,40/60,0.51,1.0,0.02,0.039215688
167,bing,True,FGSM,alexnet,30/70,vgg,ddg,50/50,0.51,1.0,0.02,0.039215688
168,bing,True,FGSM,alexnet,30/70,alexnet,google,20/80,0.45499998,0.3043478,0.07,0.11382114
169,bing,True,FGSM,alexnet,30/70,alexnet,google,30/70,0.505,0.6666667,0.02,0.03883495
170,bing,True,FGSM,alexnet,30/70,alexnet,google,40/60,0.49499997,0.48,0.12,0.192
171,bing,True,FGSM,alexnet,30/70,alexnet,google,50/50,0.48499998,0.44444445,0.12,0.18897638
172,bing,True,FGSM,alexnet,30/70,resnet,google,20/80,0.5,0.5,0.94,0.65277773
173,bing,True,FGSM,alexnet,30/70,resnet,google,30/70,0.5,0.5,0.05,0.09090909
174,bing,True,FGSM,alexnet,30/70,resnet,google,40/60,0.53,0.75,0.09,0.16071428
175,bing,True,FGSM,alexnet,30/70,resnet,google,50/50,0.5,0.5,0.01,0.019607844
176,bing,True,FGSM,alexnet,30/70,vgg,google,20/80,0.59499997,0.5840708,0.66,0.6197184
177,bing,True,FGSM,alexnet,30/70,vgg,google,30/70,0.545,0.5584416,0.43,0.48587573
178,bing,True,FGSM,alexnet,30/70,vgg,google,40/60,0.49499997,0.33333334,0.01,0.019417476
179,bing,True,FGSM,alexnet,30/70,vgg,google,50/50,0.5,nan,0.0,nan
180,bing,True,FGSM,alexnet,40/60,alexnet,bing,20/80,0.465,0.4715447,0.58,0.52017933
181,bing,True,FGSM,alexnet,40/60,alexnet,bing,30/70,0.48499998,0.46341464,0.19,0.26950356
182,bing,True,FGSM,alexnet,40/60,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
183,bing,True,FGSM,alexnet,40/60,alexnet,bing,50/50,0.515,0.54545456,0.18,0.2706767
184,bing,True,FGSM,alexnet,40/60,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
185,bing,True,FGSM,alexnet,40/60,resnet,bing,30/70,0.575,0.5471698,0.87,0.6718147
186,bing,True,FGSM,alexnet,40/60,resnet,bing,40/60,0.53499997,0.5202312,0.9,0.6593406
187,bing,True,FGSM,alexnet,40/60,resnet,bing,50/50,0.585,0.68085104,0.32,0.4353741
188,bing,True,FGSM,alexnet,40/60,vgg,bing,20/80,0.525,0.51282054,1.0,0.6779662
189,bing,True,FGSM,alexnet,40/60,vgg,bing,30/70,0.545,0.52459013,0.96,0.6784452
190,bing,True,FGSM,alexnet,40/60,vgg,bing,40/60,0.52,0.51428574,0.72,0.6
191,bing,True,FGSM,alexnet,40/60,vgg,bing,50/50,0.51,0.5416667,0.13,0.20967741
192,bing,True,FGSM,alexnet,40/60,alexnet,ddg,20/80,0.49499997,0.49748743,0.99,0.66220737
193,bing,True,FGSM,alexnet,40/60,alexnet,ddg,30/70,0.505,0.51282054,0.2,0.2877698
194,bing,True,FGSM,alexnet,40/60,alexnet,ddg,40/60,0.475,0.48366013,0.74,0.58498025
195,bing,True,FGSM,alexnet,40/60,alexnet,ddg,50/50,0.5,nan,0.0,nan
196,bing,True,FGSM,alexnet,40/60,resnet,ddg,20/80,0.545,0.5494506,0.5,0.52356017
197,bing,True,FGSM,alexnet,40/60,resnet,ddg,30/70,0.52,0.8333333,0.05,0.094339624
198,bing,True,FGSM,alexnet,40/60,resnet,ddg,40/60,0.5,nan,0.0,nan
199,bing,True,FGSM,alexnet,40/60,resnet,ddg,50/50,0.505,0.6666667,0.02,0.03883495
200,bing,True,FGSM,alexnet,40/60,vgg,ddg,20/80,0.505,0.50276244,0.91,0.6476869
201,bing,True,FGSM,alexnet,40/60,vgg,ddg,30/70,0.53,0.5202703,0.77,0.62096775
202,bing,True,FGSM,alexnet,40/60,vgg,ddg,40/60,0.5,nan,0.0,nan
203,bing,True,FGSM,alexnet,40/60,vgg,ddg,50/50,0.5,nan,0.0,nan
204,bing,True,FGSM,alexnet,40/60,alexnet,google,20/80,0.48,0.4090909,0.09,0.14754099
205,bing,True,FGSM,alexnet,40/60,alexnet,google,30/70,0.5,0.5,0.02,0.03846154
206,bing,True,FGSM,alexnet,40/60,alexnet,google,40/60,0.505,0.5185185,0.14,0.22047246
207,bing,True,FGSM,alexnet,40/60,alexnet,google,50/50,0.49499997,0.48,0.12,0.192
208,bing,True,FGSM,alexnet,40/60,resnet,google,20/80,0.48,0.48913044,0.9,0.63380283
209,bing,True,FGSM,alexnet,40/60,resnet,google,30/70,0.48999998,0.4,0.04,0.07272728
210,bing,True,FGSM,alexnet,40/60,resnet,google,40/60,0.515,0.61538464,0.08,0.14159292
211,bing,True,FGSM,alexnet,40/60,resnet,google,50/50,0.49499997,0.0,0.0,nan
212,bing,True,FGSM,alexnet,40/60,vgg,google,20/80,0.55,0.5471698,0.58,0.5631067
213,bing,True,FGSM,alexnet,40/60,vgg,google,30/70,0.565,0.5890411,0.43,0.49710986
214,bing,True,FGSM,alexnet,40/60,vgg,google,40/60,0.51,0.75,0.03,0.057692308
215,bing,True,FGSM,alexnet,40/60,vgg,google,50/50,0.5,nan,0.0,nan
216,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.48,0.48245615,0.55,0.51401865
217,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.435,0.33333334,0.13,0.18705036
