,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
120,bing,True,FGSM,vgg,50/50,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
121,bing,True,FGSM,vgg,50/50,alexnet,ddg,30/70,0.645,0.6593407,0.6,0.62827224
122,bing,True,FGSM,vgg,50/50,alexnet,ddg,40/60,0.515,0.5126051,0.61,0.55707765
123,bing,True,FGSM,vgg,50/50,alexnet,ddg,50/50,0.545,0.7368421,0.14,0.23529412
124,bing,True,FGSM,vgg,50/50,resnet,ddg,20/80,0.585,0.56296295,0.76,0.64680845
125,bing,True,FGSM,vgg,50/50,resnet,ddg,30/70,0.61,0.6964286,0.39,0.49999994
126,bing,True,FGSM,vgg,50/50,resnet,ddg,40/60,0.5,0.5,0.02,0.03846154
127,bing,True,FGSM,vgg,50/50,resnet,ddg,50/50,0.645,0.73015875,0.46,0.56441724
128,bing,True,FGSM,vgg,50/50,vgg,ddg,20/80,0.51,0.50641024,0.79,0.6171875
129,bing,True,FGSM,vgg,50/50,vgg,ddg,30/70,0.53,0.52380955,0.66,0.58407086
130,bing,True,FGSM,vgg,50/50,vgg,ddg,40/60,0.48,0.35714287,0.05,0.0877193
131,bing,True,FGSM,vgg,50/50,vgg,ddg,50/50,0.48499998,0.36363637,0.04,0.072072074
132,bing,True,FGSM,vgg,50/50,alexnet,google,20/80,0.63,0.60655737,0.74,0.6666666
133,bing,True,FGSM,vgg,50/50,alexnet,google,30/70,0.53499997,0.58536583,0.24,0.3404255
134,bing,True,FGSM,vgg,50/50,alexnet,google,40/60,0.575,0.6923077,0.27,0.38848922
135,bing,True,FGSM,vgg,50/50,alexnet,google,50/50,0.53999996,0.6111111,0.22,0.32352942
136,bing,True,FGSM,vgg,50/50,resnet,google,20/80,0.52,0.5117647,0.87,0.64444447
137,bing,True,FGSM,vgg,50/50,resnet,google,30/70,0.59499997,0.66101694,0.39,0.49056602
138,bing,True,FGSM,vgg,50/50,resnet,google,40/60,0.58,0.64285713,0.36,0.46153843
139,bing,True,FGSM,vgg,50/50,resnet,google,50/50,0.575,0.7419355,0.23,0.35114503
140,bing,True,FGSM,vgg,50/50,vgg,google,20/80,0.52,0.5153846,0.67,0.5826087
141,bing,True,FGSM,vgg,50/50,vgg,google,30/70,0.545,0.5463917,0.53,0.53807104
142,bing,True,FGSM,vgg,50/50,vgg,google,40/60,0.51,0.5277778,0.19,0.27941176
143,bing,True,FGSM,vgg,50/50,vgg,google,50/50,0.48,0.3,0.03,0.054545455
144,bing,True,FGSM,alexnet,30/70,alexnet,bing,20/80,0.48999998,0.49074075,0.53,0.50961536
145,bing,True,FGSM,alexnet,30/70,alexnet,bing,30/70,0.42999998,0.35416666,0.17,0.22972973
146,bing,True,FGSM,alexnet,30/70,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
147,bing,True,FGSM,alexnet,30/70,alexnet,bing,50/50,0.445,0.41269842,0.26,0.31901842
148,bing,True,FGSM,alexnet,30/70,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
149,bing,True,FGSM,alexnet,30/70,resnet,bing,30/70,0.59999996,0.57042253,0.81,0.66942143
150,bing,True,FGSM,alexnet,30/70,resnet,bing,40/60,0.56,0.5394737,0.82,0.6507937
151,bing,True,FGSM,alexnet,30/70,resnet,bing,50/50,0.585,0.6666667,0.34,0.45033115
152,bing,True,FGSM,alexnet,30/70,vgg,bing,20/80,0.545,0.5235602,1.0,0.6872852
153,bing,True,FGSM,alexnet,30/70,vgg,bing,30/70,0.56,0.5344828,0.93,0.6788322
154,bing,True,FGSM,alexnet,30/70,vgg,bing,40/60,0.59499997,0.5811966,0.68,0.6267281
155,bing,True,FGSM,alexnet,30/70,vgg,bing,50/50,0.57,0.7058824,0.24,0.35820895
156,bing,True,FGSM,alexnet,30/70,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
157,bing,True,FGSM,alexnet,30/70,alexnet,ddg,30/70,0.48499998,0.42857143,0.09,0.14876035
158,bing,True,FGSM,alexnet,30/70,alexnet,ddg,40/60,0.405,0.4159292,0.47,0.44131455
159,bing,True,FGSM,alexnet,30/70,alexnet,ddg,50/50,0.505,1.0,0.01,0.01980198
160,bing,True,FGSM,alexnet,30/70,resnet,ddg,20/80,0.545,0.5445545,0.55,0.54726374
161,bing,True,FGSM,alexnet,30/70,resnet,ddg,30/70,0.545,0.8,0.12,0.20869565
162,bing,True,FGSM,alexnet,30/70,resnet,ddg,40/60,0.505,1.0,0.01,0.01980198
163,bing,True,FGSM,alexnet,30/70,resnet,ddg,50/50,0.55,0.8125,0.13,0.22413792
164,bing,True,FGSM,alexnet,30/70,vgg,ddg,20/80,0.565,0.53757226,0.93,0.6813187
165,bing,True,FGSM,alexnet,30/70,vgg,ddg,30/70,0.635,0.61157024,0.74,0.6696832
166,bing,True,FGSM,alexnet,30/70,vgg,ddg,40/60,0.505,0.6,0.03,0.05714286
167,bing,True,FGSM,alexnet,30/70,vgg,ddg,50/50,0.525,1.0,0.05,0.095238104
168,bing,True,FGSM,alexnet,30/70,alexnet,google,20/80,0.48999998,0.4814815,0.26,0.3376623
169,bing,True,FGSM,alexnet,30/70,alexnet,google,30/70,0.49499997,0.44444445,0.04,0.0733945
170,bing,True,FGSM,alexnet,30/70,alexnet,google,40/60,0.505,0.5217391,0.12,0.19512196
171,bing,True,FGSM,alexnet,30/70,alexnet,google,50/50,0.51,0.53333336,0.16,0.24615383
172,bing,True,FGSM,alexnet,30/70,resnet,google,20/80,0.5,0.5,0.88,0.6376812
173,bing,True,FGSM,alexnet,30/70,resnet,google,30/70,0.53,0.8,0.08,0.14545456
174,bing,True,FGSM,alexnet,30/70,resnet,google,40/60,0.53499997,0.68421054,0.13,0.21848738
175,bing,True,FGSM,alexnet,30/70,resnet,google,50/50,0.515,0.71428573,0.05,0.093457945
176,bing,True,FGSM,alexnet,30/70,vgg,google,20/80,0.59999996,0.5925926,0.64,0.61538464
177,bing,True,FGSM,alexnet,30/70,vgg,google,30/70,0.57,0.60294116,0.41,0.48809522
178,bing,True,FGSM,alexnet,30/70,vgg,google,40/60,0.51,0.6,0.06,0.10909091
179,bing,True,FGSM,alexnet,30/70,vgg,google,50/50,0.515,1.0,0.03,0.058252428
180,bing,True,FGSM,alexnet,40/60,alexnet,bing,20/80,0.48999998,0.49166667,0.59,0.5363636
181,bing,True,FGSM,alexnet,40/60,alexnet,bing,30/70,0.48499998,0.47058824,0.24,0.3178808
182,bing,True,FGSM,alexnet,40/60,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
183,bing,True,FGSM,alexnet,40/60,alexnet,bing,50/50,0.525,0.5409836,0.33,0.40993792
184,bing,True,FGSM,alexnet,40/60,resnet,bing,20/80,0.51,0.5050505,1.0,0.67114097
185,bing,True,FGSM,alexnet,40/60,resnet,bing,30/70,0.58,0.5506329,0.87,0.6744186
186,bing,True,FGSM,alexnet,40/60,resnet,bing,40/60,0.58,0.5506329,0.87,0.6744186
187,bing,True,FGSM,alexnet,40/60,resnet,bing,50/50,0.59,0.66071427,0.37,0.47435898
188,bing,True,FGSM,alexnet,40/60,vgg,bing,20/80,0.555,0.5294118,0.99,0.6898955
189,bing,True,FGSM,alexnet,40/60,vgg,bing,30/70,0.585,0.5508982,0.92,0.6891386
190,bing,True,FGSM,alexnet,40/60,vgg,bing,40/60,0.57,0.5614035,0.64,0.5981308
191,bing,True,FGSM,alexnet,40/60,vgg,bing,50/50,0.53499997,0.6296296,0.17,0.26771653
192,bing,True,FGSM,alexnet,40/60,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
193,bing,True,FGSM,alexnet,40/60,alexnet,ddg,30/70,0.48499998,0.44444445,0.12,0.18897638
194,bing,True,FGSM,alexnet,40/60,alexnet,ddg,40/60,0.45499998,0.4587156,0.5,0.4784689
195,bing,True,FGSM,alexnet,40/60,alexnet,ddg,50/50,0.505,1.0,0.01,0.01980198
196,bing,True,FGSM,alexnet,40/60,resnet,ddg,20/80,0.565,0.5575221,0.63,0.5915493
197,bing,True,FGSM,alexnet,40/60,resnet,ddg,30/70,0.56,0.875,0.14,0.24137932
198,bing,True,FGSM,alexnet,40/60,resnet,ddg,40/60,0.5,nan,0.0,nan
199,bing,True,FGSM,alexnet,40/60,resnet,ddg,50/50,0.53999996,0.78571427,0.11,0.19298245
200,bing,True,FGSM,alexnet,40/60,vgg,ddg,20/80,0.5,0.5,0.84,0.6268657
201,bing,True,FGSM,alexnet,40/60,vgg,ddg,30/70,0.57,0.5614035,0.64,0.5981308
202,bing,True,FGSM,alexnet,40/60,vgg,ddg,40/60,0.515,0.8,0.04,0.07619048
203,bing,True,FGSM,alexnet,40/60,vgg,ddg,50/50,0.515,1.0,0.03,0.058252428
204,bing,True,FGSM,alexnet,40/60,alexnet,google,20/80,0.48,0.46551725,0.27,0.34177217
205,bing,True,FGSM,alexnet,40/60,alexnet,google,30/70,0.51,0.5714286,0.08,0.14035088
206,bing,True,FGSM,alexnet,40/60,alexnet,google,40/60,0.49499997,0.47826087,0.11,0.17886178
207,bing,True,FGSM,alexnet,40/60,alexnet,google,50/50,0.5,0.5,0.18,0.2647059
208,bing,True,FGSM,alexnet,40/60,resnet,google,20/80,0.465,0.48,0.84,0.6109091
209,bing,True,FGSM,alexnet,40/60,resnet,google,30/70,0.52,0.6666667,0.08,0.14285715
210,bing,True,FGSM,alexnet,40/60,resnet,google,40/60,0.505,0.53333336,0.08,0.13913043
211,bing,True,FGSM,alexnet,40/60,resnet,google,50/50,0.515,1.0,0.03,0.058252428
212,bing,True,FGSM,alexnet,40/60,vgg,google,20/80,0.53999996,0.5377358,0.57,0.553398
213,bing,True,FGSM,alexnet,40/60,vgg,google,30/70,0.565,0.6,0.39,0.47272727
214,bing,True,FGSM,alexnet,40/60,vgg,google,40/60,0.51,0.5833333,0.07,0.125
215,bing,True,FGSM,alexnet,40/60,vgg,google,50/50,0.515,1.0,0.03,0.058252428
216,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.45999998,0.46721312,0.57,0.5135135
217,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.445,0.3962264,0.21,0.2745098
218,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
219,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.505,0.50877196,0.29,0.36942673
220,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
221,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.53,0.5192308,0.81,0.6328125
222,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.575,0.54901963,0.84,0.6640316
223,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.58,0.66,0.33,0.44000003
224,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.525,0.51282054,1.0,0.6779662
225,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.57,0.53932583,0.96,0.6906475
226,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.53999996,0.5327869,0.65,0.5855856
227,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.53499997,0.5945946,0.22,0.3211679
228,bing,True,FGSM,alexnet,20/80,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
229,bing,True,FGSM,alexnet,20/80,alexnet,ddg,30/70,0.505,0.5217391,0.12,0.19512196
230,bing,True,FGSM,alexnet,20/80,alexnet,ddg,40/60,0.48,0.4814815,0.52,0.49999994
231,bing,True,FGSM,alexnet,20/80,alexnet,ddg,50/50,0.505,1.0,0.01,0.01980198
232,bing,True,FGSM,alexnet,20/80,resnet,ddg,20/80,0.56,0.55263156,0.63,0.58878505
233,bing,True,FGSM,alexnet,20/80,resnet,ddg,30/70,0.565,0.93333334,0.14,0.24347827
234,bing,True,FGSM,alexnet,20/80,resnet,ddg,40/60,0.5,nan,0.0,nan
235,bing,True,FGSM,alexnet,20/80,resnet,ddg,50/50,0.53,0.71428573,0.1,0.1754386
236,bing,True,FGSM,alexnet,20/80,vgg,ddg,20/80,0.53999996,0.52380955,0.88,0.6567164
237,bing,True,FGSM,alexnet,20/80,vgg,ddg,30/70,0.53999996,0.5307692,0.69,0.6
238,bing,True,FGSM,alexnet,20/80,vgg,ddg,40/60,0.505,0.6,0.03,0.05714286
239,bing,True,FGSM,alexnet,20/80,vgg,ddg,50/50,0.515,0.8,0.04,0.07619048
240,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.45999998,0.43333334,0.26,0.325
241,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.48499998,0.33333334,0.03,0.05504587
242,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.48499998,0.44827586,0.13,0.20155038
243,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.515,0.54285717,0.19,0.28148147
244,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.45999998,0.4770115,0.83,0.60583943
245,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.53499997,0.8181818,0.09,0.16216217
246,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.52,0.64285713,0.09,0.15789475
247,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.525,1.0,0.05,0.095238104
248,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.565,0.559633,0.61,0.58373207
249,bing,True,FGSM,alexnet,20/80,vgg,google,30/70,0.545,0.56164384,0.41,0.47398847
250,bing,True,FGSM,alexnet,20/80,vgg,google,40/60,0.53,0.71428573,0.1,0.1754386
251,bing,True,FGSM,alexnet,20/80,vgg,google,50/50,0.505,0.6666667,0.02,0.03883495
252,bing,True,FGSM,alexnet,50/50,alexnet,bing,20/80,0.48999998,0.4915254,0.58,0.5321101
253,bing,True,FGSM,alexnet,50/50,alexnet,bing,30/70,0.39499998,0.33333334,0.21,0.2576687
254,bing,True,FGSM,alexnet,50/50,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
255,bing,True,FGSM,alexnet,50/50,alexnet,bing,50/50,0.45,0.41935483,0.26,0.32098767
256,bing,True,FGSM,alexnet,50/50,resnet,bing,20/80,0.5,0.5,0.99,0.66442955
257,bing,True,FGSM,alexnet,50/50,resnet,bing,30/70,0.585,0.5586207,0.81,0.66122454
258,bing,True,FGSM,alexnet,50/50,resnet,bing,40/60,0.575,0.54901963,0.84,0.6640316
259,bing,True,FGSM,alexnet,50/50,resnet,bing,50/50,0.635,0.7647059,0.39,0.5165563
260,bing,True,FGSM,alexnet,50/50,vgg,bing,20/80,0.53499997,0.5181347,1.0,0.6825939
261,bing,True,FGSM,alexnet,50/50,vgg,bing,30/70,0.565,0.5371429,0.94,0.68363637
262,bing,True,FGSM,alexnet,50/50,vgg,bing,40/60,0.57,0.55932206,0.66,0.60550463
263,bing,True,FGSM,alexnet,50/50,vgg,bing,50/50,0.585,0.7741935,0.24,0.3664122
264,bing,True,FGSM,alexnet,50/50,alexnet,ddg,20/80,0.505,0.5025126,1.0,0.6688963
265,bing,True,FGSM,alexnet,50/50,alexnet,ddg,30/70,0.5,0.5,0.14,0.21875
266,bing,True,FGSM,alexnet,50/50,alexnet,ddg,40/60,0.42499998,0.43589744,0.51,0.47004607
