,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
160,bing,True,FGSM,resnet,20/80,resnet,ddg,20/80,0.56,0.54615384,0.71,0.6173913
161,bing,True,FGSM,resnet,20/80,resnet,ddg,30/70,0.57,0.625,0.35,0.44871795
162,bing,True,FGSM,resnet,20/80,resnet,ddg,40/60,0.5,0.5,0.03,0.056603774
163,bing,True,FGSM,resnet,20/80,resnet,ddg,50/50,0.545,0.57894737,0.33,0.4203822
164,bing,True,FGSM,resnet,20/80,vgg,ddg,20/80,0.59999996,0.55813956,0.96,0.7058824
165,bing,True,FGSM,resnet,20/80,vgg,ddg,30/70,0.61,0.5753425,0.84,0.68292683
166,bing,True,FGSM,resnet,20/80,vgg,ddg,40/60,0.555,0.6486486,0.24,0.35036495
167,bing,True,FGSM,resnet,20/80,vgg,ddg,50/50,0.585,0.8148148,0.22,0.34645668
168,bing,True,FGSM,resnet,20/80,alexnet,google,20/80,0.62,0.58450705,0.83,0.6859504
169,bing,True,FGSM,resnet,20/80,alexnet,google,30/70,0.59,0.6875,0.33,0.44594595
170,bing,True,FGSM,resnet,20/80,alexnet,google,40/60,0.60499996,0.7234042,0.34,0.46258503
171,bing,True,FGSM,resnet,20/80,alexnet,google,50/50,0.59499997,0.6792453,0.36,0.4705882
172,bing,True,FGSM,resnet,20/80,resnet,google,20/80,0.53499997,0.52095807,0.87,0.65168536
173,bing,True,FGSM,resnet,20/80,resnet,google,30/70,0.555,0.62222224,0.28,0.3862069
174,bing,True,FGSM,resnet,20/80,resnet,google,40/60,0.53499997,0.5813953,0.25,0.34965035
175,bing,True,FGSM,resnet,20/80,resnet,google,50/50,0.575,0.7586207,0.22,0.34108528
176,bing,True,FGSM,resnet,20/80,vgg,google,20/80,0.59,0.56,0.84,0.672
177,bing,True,FGSM,resnet,20/80,vgg,google,30/70,0.615,0.59504133,0.72,0.6515838
178,bing,True,FGSM,resnet,20/80,vgg,google,40/60,0.53499997,0.5686275,0.29,0.38410595
179,bing,True,FGSM,resnet,20/80,vgg,google,50/50,0.53499997,0.73333335,0.11,0.19130434
180,bing,True,FGSM,resnet,30/70,alexnet,bing,20/80,0.615,0.60747665,0.65,0.6280194
181,bing,True,FGSM,resnet,30/70,alexnet,bing,30/70,0.59499997,0.6557377,0.4,0.49689442
182,bing,True,FGSM,resnet,30/70,alexnet,bing,40/60,0.58,0.8333333,0.2,0.32258067
183,bing,True,FGSM,resnet,30/70,alexnet,bing,50/50,0.635,0.6849315,0.5,0.5780347
184,bing,True,FGSM,resnet,30/70,resnet,bing,20/80,0.505,0.5025381,0.99,0.6666667
185,bing,True,FGSM,resnet,30/70,resnet,bing,30/70,0.51,0.50625,0.81,0.6230769
186,bing,True,FGSM,resnet,30/70,resnet,bing,40/60,0.52,0.512987,0.79,0.62204725
187,bing,True,FGSM,resnet,30/70,resnet,bing,50/50,0.56,0.5555556,0.6,0.57692313
188,bing,True,FGSM,resnet,30/70,vgg,bing,20/80,0.56,0.5322581,0.99,0.6923078
189,bing,True,FGSM,resnet,30/70,vgg,bing,30/70,0.565,0.53846157,0.91,0.67658
190,bing,True,FGSM,resnet,30/70,vgg,bing,40/60,0.59999996,0.60638297,0.57,0.5876288
191,bing,True,FGSM,resnet,30/70,vgg,bing,50/50,0.60499996,0.6438356,0.47,0.5433526
192,bing,True,FGSM,resnet,30/70,alexnet,ddg,20/80,0.505,0.5025126,1.0,0.6688963
193,bing,True,FGSM,resnet,30/70,alexnet,ddg,30/70,0.655,0.6666667,0.62,0.6424871
194,bing,True,FGSM,resnet,30/70,alexnet,ddg,40/60,0.57,0.55737704,0.68,0.6126126
195,bing,True,FGSM,resnet,30/70,alexnet,ddg,50/50,0.53999996,0.6818182,0.15,0.24590164
196,bing,True,FGSM,resnet,30/70,resnet,ddg,20/80,0.525,0.518797,0.69,0.59227467
197,bing,True,FGSM,resnet,30/70,resnet,ddg,30/70,0.53999996,0.5869565,0.27,0.36986303
198,bing,True,FGSM,resnet,30/70,resnet,ddg,40/60,0.515,0.71428573,0.05,0.093457945
199,bing,True,FGSM,resnet,30/70,resnet,ddg,50/50,0.56,0.6363636,0.28,0.3888889
200,bing,True,FGSM,resnet,30/70,vgg,ddg,20/80,0.55,0.5308642,0.86,0.6564886
201,bing,True,FGSM,resnet,30/70,vgg,ddg,30/70,0.59499997,0.5693431,0.78,0.65822786
202,bing,True,FGSM,resnet,30/70,vgg,ddg,40/60,0.555,0.6896552,0.2,0.31007752
203,bing,True,FGSM,resnet,30/70,vgg,ddg,50/50,0.555,0.7894737,0.15,0.25210086
204,bing,True,FGSM,resnet,30/70,alexnet,google,20/80,0.65999997,0.619403,0.83,0.70940167
205,bing,True,FGSM,resnet,30/70,alexnet,google,30/70,0.58,0.6818182,0.3,0.4166667
206,bing,True,FGSM,resnet,30/70,alexnet,google,40/60,0.615,0.7346939,0.36,0.48322147
207,bing,True,FGSM,resnet,30/70,alexnet,google,50/50,0.60499996,0.68421054,0.39,0.49681526
208,bing,True,FGSM,resnet,30/70,resnet,google,20/80,0.505,0.5032258,0.78,0.61176467
209,bing,True,FGSM,resnet,30/70,resnet,google,30/70,0.57,0.71875,0.23,0.34848484
210,bing,True,FGSM,resnet,30/70,resnet,google,40/60,0.53999996,0.6052632,0.23,0.33333334
211,bing,True,FGSM,resnet,30/70,resnet,google,50/50,0.53999996,0.65384614,0.17,0.26984128
212,bing,True,FGSM,resnet,30/70,vgg,google,20/80,0.565,0.54362416,0.81,0.65060246
213,bing,True,FGSM,resnet,30/70,vgg,google,30/70,0.59499997,0.5785124,0.7,0.6334842
214,bing,True,FGSM,resnet,30/70,vgg,google,40/60,0.545,0.60465115,0.26,0.36363634
215,bing,True,FGSM,resnet,30/70,vgg,google,50/50,0.53999996,0.8333333,0.1,0.17857143
216,bing,True,FGSM,resnet,40/60,alexnet,bing,20/80,0.65,0.65957445,0.62,0.6391753
217,bing,True,FGSM,resnet,40/60,alexnet,bing,30/70,0.575,0.6229508,0.38,0.47204965
218,bing,True,FGSM,resnet,40/60,alexnet,bing,40/60,0.58,0.8076923,0.21,0.3333333
219,bing,True,FGSM,resnet,40/60,alexnet,bing,50/50,0.64,0.7058824,0.48,0.5714286
220,bing,True,FGSM,resnet,40/60,resnet,bing,20/80,0.505,0.5025126,1.0,0.6688963
221,bing,True,FGSM,resnet,40/60,resnet,bing,30/70,0.51,0.50595236,0.85,0.63432837
222,bing,True,FGSM,resnet,40/60,resnet,bing,40/60,0.45499998,0.47019866,0.71,0.565737
223,bing,True,FGSM,resnet,40/60,resnet,bing,50/50,0.545,0.53781515,0.64,0.58447486
224,bing,True,FGSM,resnet,40/60,vgg,bing,20/80,0.56,0.5322581,0.99,0.6923078
225,bing,True,FGSM,resnet,40/60,vgg,bing,30/70,0.61,0.56790125,0.92,0.7022901
226,bing,True,FGSM,resnet,40/60,vgg,bing,40/60,0.585,0.5913978,0.55,0.5699482
227,bing,True,FGSM,resnet,40/60,vgg,bing,50/50,0.59999996,0.64285713,0.45,0.52941173
228,bing,True,FGSM,resnet,40/60,alexnet,ddg,20/80,0.505,0.5025381,0.99,0.6666667
229,bing,True,FGSM,resnet,40/60,alexnet,ddg,30/70,0.645,0.65591395,0.61,0.63212436
230,bing,True,FGSM,resnet,40/60,alexnet,ddg,40/60,0.525,0.5233645,0.56,0.54106283
231,bing,True,FGSM,resnet,40/60,alexnet,ddg,50/50,0.53499997,0.6666667,0.14,0.23140496
232,bing,True,FGSM,resnet,40/60,resnet,ddg,20/80,0.51,0.5078125,0.65,0.57017547
233,bing,True,FGSM,resnet,40/60,resnet,ddg,30/70,0.53999996,0.5769231,0.3,0.39473686
234,bing,True,FGSM,resnet,40/60,resnet,ddg,40/60,0.52,0.75,0.06,0.111111104
235,bing,True,FGSM,resnet,40/60,resnet,ddg,50/50,0.555,0.6037736,0.32,0.41830066
236,bing,True,FGSM,resnet,40/60,vgg,ddg,20/80,0.57,0.5416667,0.91,0.6791045
237,bing,True,FGSM,resnet,40/60,vgg,ddg,30/70,0.575,0.55474454,0.76,0.64135027
238,bing,True,FGSM,resnet,40/60,vgg,ddg,40/60,0.53999996,0.6333333,0.19,0.29230767
239,bing,True,FGSM,resnet,40/60,vgg,ddg,50/50,0.53499997,0.62068963,0.18,0.27906978
240,bing,True,FGSM,resnet,40/60,alexnet,google,20/80,0.675,0.6277372,0.86,0.72573847
241,bing,True,FGSM,resnet,40/60,alexnet,google,30/70,0.585,0.6976744,0.3,0.41958043
242,bing,True,FGSM,resnet,40/60,alexnet,google,40/60,0.61,0.71153843,0.37,0.4868421
243,bing,True,FGSM,resnet,40/60,alexnet,google,50/50,0.57,0.65217394,0.3,0.41095892
244,bing,True,FGSM,resnet,40/60,resnet,google,20/80,0.505,0.50289017,0.87,0.6373626
245,bing,True,FGSM,resnet,40/60,resnet,google,30/70,0.525,0.5714286,0.2,0.2962963
246,bing,True,FGSM,resnet,40/60,resnet,google,40/60,0.48999998,0.475,0.19,0.27142859
247,bing,True,FGSM,resnet,40/60,resnet,google,50/50,0.52,0.5833333,0.14,0.22580646
248,bing,True,FGSM,resnet,40/60,vgg,google,20/80,0.57,0.5486111,0.79,0.647541
249,bing,True,FGSM,resnet,40/60,vgg,google,30/70,0.59999996,0.58474576,0.69,0.63302755
250,bing,True,FGSM,resnet,40/60,vgg,google,40/60,0.555,0.6122449,0.3,0.40268457
251,bing,True,FGSM,resnet,40/60,vgg,google,50/50,0.49499997,0.46666667,0.07,0.121739134
252,bing,True,FGSM,resnet,50/50,alexnet,bing,20/80,0.625,0.6146789,0.67,0.6411484
253,bing,True,FGSM,resnet,50/50,alexnet,bing,30/70,0.56,0.59375,0.38,0.4634146
254,bing,True,FGSM,resnet,50/50,alexnet,bing,40/60,0.555,0.7037037,0.19,0.2992126
255,bing,True,FGSM,resnet,50/50,alexnet,bing,50/50,0.59999996,0.64285713,0.45,0.52941173
256,bing,True,FGSM,resnet,50/50,resnet,bing,20/80,0.505,0.5025126,1.0,0.6688963
257,bing,True,FGSM,resnet,50/50,resnet,bing,30/70,0.53499997,0.5214724,0.85,0.6463879
258,bing,True,FGSM,resnet,50/50,resnet,bing,40/60,0.48999998,0.49358973,0.77,0.60156244
259,bing,True,FGSM,resnet,50/50,resnet,bing,50/50,0.505,0.50442475,0.57,0.53521127
260,bing,True,FGSM,resnet,50/50,vgg,bing,20/80,0.545,0.5243243,0.97,0.68070173
261,bing,True,FGSM,resnet,50/50,vgg,bing,30/70,0.61,0.56707317,0.93,0.70454544
262,bing,True,FGSM,resnet,50/50,vgg,bing,40/60,0.60499996,0.6039604,0.61,0.6069652
263,bing,True,FGSM,resnet,50/50,vgg,bing,50/50,0.58,0.6,0.48,0.53333336
264,bing,True,FGSM,resnet,50/50,alexnet,ddg,20/80,0.505,0.5025381,0.99,0.6666667
