,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
143,bing,False,BoxBlur,,,vgg,google,50/50,0.9685,0.9670987,0.97,0.9685472
144,bing,False,GaussianNoise,,,alexnet,bing,20/80,0.90200007,0.8551237,0.968,0.9080676
145,bing,False,GaussianNoise,,,alexnet,bing,30/70,0.91,0.89651835,0.927,0.91150445
146,bing,False,GaussianNoise,,,alexnet,bing,40/60,0.9265,0.9329949,0.919,0.92594457
147,bing,False,GaussianNoise,,,alexnet,bing,50/50,0.9085,0.8879392,0.935,0.91086215
148,bing,False,GaussianNoise,,,resnet,bing,20/80,0.9035,0.85930544,0.965,0.9090909
149,bing,False,GaussianNoise,,,resnet,bing,30/70,0.93850005,0.9311701,0.947,0.93901837
150,bing,False,GaussianNoise,,,resnet,bing,40/60,0.9355,0.957939,0.911,0.93388003
151,bing,False,GaussianNoise,,,resnet,bing,50/50,0.94200003,0.93762374,0.947,0.9422885
152,bing,False,GaussianNoise,,,vgg,bing,20/80,0.92950004,0.89658356,0.971,0.9323092
153,bing,False,GaussianNoise,,,vgg,bing,30/70,0.93700004,0.9130435,0.966,0.9387755
154,bing,False,GaussianNoise,,,vgg,bing,40/60,0.9445,0.95126903,0.937,0.94408065
155,bing,False,GaussianNoise,,,vgg,bing,50/50,0.9480001,0.9497992,0.946,0.94789577
156,bing,False,GaussianNoise,,,alexnet,ddg,20/80,0.86500007,0.8011551,0.971,0.87793857
157,bing,False,GaussianNoise,,,alexnet,ddg,30/70,0.91850007,0.89222115,0.952,0.9211418
158,bing,False,GaussianNoise,,,alexnet,ddg,40/60,0.91400003,0.9207317,0.906,0.91330653
159,bing,False,GaussianNoise,,,alexnet,ddg,50/50,0.91050005,0.9092722,0.912,0.9106341
160,bing,False,GaussianNoise,,,resnet,ddg,20/80,0.9035,0.8542581,0.973,0.9097709
161,bing,False,GaussianNoise,,,resnet,ddg,30/70,0.94200003,0.93936384,0.945,0.9421735
162,bing,False,GaussianNoise,,,resnet,ddg,40/60,0.93950003,0.9710611,0.906,0.937403
163,bing,False,GaussianNoise,,,resnet,ddg,50/50,0.94250005,0.94561934,0.939,0.94229805
164,bing,False,GaussianNoise,,,vgg,ddg,20/80,0.91300005,0.8572664,0.991,0.919295
165,bing,False,GaussianNoise,,,vgg,ddg,30/70,0.933,0.90092593,0.973,0.9355769
166,bing,False,GaussianNoise,,,vgg,ddg,40/60,0.94400007,0.9521385,0.935,0.9434914
167,bing,False,GaussianNoise,,,vgg,ddg,50/50,0.94600004,0.94959676,0.942,0.9457831
168,bing,False,GaussianNoise,,,alexnet,google,20/80,0.87650007,0.8119304,0.98,0.8880834
169,bing,False,GaussianNoise,,,alexnet,google,30/70,0.90900004,0.8808194,0.946,0.9122468
170,bing,False,GaussianNoise,,,alexnet,google,40/60,0.91600007,0.9110672,0.922,0.91650105
